plz,name,lat,long,ev_count,population,area
31079,Sibbesse,52.0358674099,9.90494950982,0,6205,71.78836
22459,Hamburg,53.6264802392,9.9368037431,6,18991,3.967082
20355,Hamburg,53.5565966408,9.98001165613,9,4381,1.116799
20146,Hamburg,53.5677534939,9.98143488401,10,10420,0.931521
97294,Unterpleichfeld,49.8768438704,10.0316124254,0,2788,23.862822
24254,Rumohr,54.2544040692,10.021915338,0,803,8.879643
22083,Hamburg,53.5792306461,10.0310239738,8,17888,1.633546
22415,Hamburg,53.6474563561,10.0083792522,3,12366,4.391761
89275,Elchingen,48.4487313559,10.0842453596,2,9122,24.803953
88457,Kirchdorf an der Iller,48.0607401451,10.1196244529,0,3444,22.812124
24111,Kiel Russee,54.3040852167,10.0658387937,2,7288,3.302166
22049,Hamburg,53.5864635165,10.069389434,4,21955,2.214274
73460,Hüttlingen,48.9003557354,10.0924449459,0,5872,18.086101
29328,Faßberg,52.8849725396,10.181481254,0,6337,102.120263
31188,Holle,52.0859349185,10.138222019,1,7233,60.931566
22395,Hamburg,53.6700688052,10.1192154299,3,13002,8.23537
97523,Schwanfeld,49.9206679662,10.1333663627,0,1894,11.921667
89522,Heidenheim an der Brenz,48.6666661718,10.1847224559,7,19466,34.386196
91628,Steinsfeld,49.4267004162,10.210415584,1,1234,31.76383
97537,Wipfeld,49.9211485754,10.173291362,0,1096,5.236555
24223,Schwentinetal,54.2736791172,10.2465764327,3,7708,13.695936
73450,Neresheim,48.7813555098,10.3286959354,2,7908,120.162938
38274,Elbe,52.0887562298,10.2800338228,0,1628,16.910078
91592,Buch a. Wald,49.3190955867,10.309692151,0,978,26.460908
89362,Offingen,48.4786318918,10.364173658,0,4134,14.950321
37431,Bad Lauterberg,51.6407301106,10.445512179,4,10978,118.598749
89350,Dürrlauingen,48.4672106405,10.4272365441,0,1588,12.238482
21524,Brunstorf,53.4933655347,10.4268911513,0,651,13.658963
21337,Lüneburg,53.2439949303,10.4568594594,11,23465,30.150143
38116,Braunschweig,52.2810044827,10.4569635093,0,14923,16.860019
97486,Königsberg i. Bay.,50.0753977126,10.5846867991,0,3708,61.791028
91522,Ansbach,49.2921931121,10.5637176661,20,39510,99.78045
99998,"Körner, Weinbergen",51.2128899282,10.5528691667,0,4942,75.001707
3058,Neuhausen/Spree,51.6884228049,14.432104281,0,5228,135.411663
15328,"Golzow, Zechin u.a.",52.566405993,14.5311415275,0,6179,176.082838
2748,Bernstadt a. d. Eigen,51.0475512261,14.8272079137,0,3665,52.458321
49201,Dissen,52.1211919196,8.20644449095,6,9294,31.835599
26349,Jade,53.3564170542,8.25329852985,3,5985,96.682088
77709,"Wolfach, Oberwolfach",48.3215119891,8.2474605503,4,8542,119.157697
76477,Elchesheim-Illingen,48.9317888076,8.20642079751,1,3233,10.141165
67593,"Westhofen, Bermersheim",49.6999551358,8.24144443197,0,3490,16.614131
67454,Haßloch,49.3504908433,8.26629559083,6,19807,39.860342
57319,Bad Berleburg,51.05506641,8.40586001287,8,19921,279.974455
55129,"Mainz Ebersheim, Hechtsheim",49.9404809393,8.26050276292,3,21615,24.865359
79877,Friedenweiler,47.9097849723,8.27674986306,1,1954,27.005731
78112,St. Georgen,48.1227542023,8.32927748271,5,12969,59.894775
76771,Hördt,49.166138628,8.33991255611,0,2435,18.749517
